index,id,localized_name,attack_type,primary_attr,roles,base_health,base_health_regen,base_mana,base_mana_regen,base_armor,base_mr,base_attack_min,base_attack_max,base_str,base_agi,base_int,str_gain,agi_gain,int_gain,attack_range,projectile_speed,attack_rate,base_attack_time,attack_point,move_speed,turn_rate,cm_enabled,legs,day_vision,night_vision
13,20,Vengeful Spirit,Ranged,all,"['Support', 'Initiator', 'Disabler', 'Nuker', 'Escape']",120,0.25,75,0.0,0.0,25,9,15,20,21,19,2.1,2.1,1.2,400,1500,1.7,110,0.33,295,,True,2,1800,800
14,98,Timbersaw,Melee,all,"['Nuker', 'Durable', 'Escape']",120,0.25,75,0.5,0.0,25,4,8,27,16,23,3.5,1.3,2.7,150,900,1.7,100,0.36,285,,True,2,1800,800
15,70,Ursa,Melee,agi,"['Carry', 'Durable', 'Disabler']",120,1.0,75,0.0,1.0,25,24,28,25,18,16,2.6,2.8,1.5,150,900,1.7,100,0.3,310,,True,2,1800,800
16,55,Dark Seer,Melee,all,"['Initiator', 'Escape', 'Disabler']",120,1.0,75,0.0,2.0,25,7,13,22,19,21,2.6,1.8,2.7,150,900,1.7,100,0.59,295,,True,2,1800,800
17,120,Pangolier,Melee,all,"['Carry', 'Nuker', 'Disabler', 'Durable', 'Escape', 'Initiator']",120,0.75,75,0.0,2.0,25,8,14,19,18,16,2.7,2.5,1.9,150,900,1.7,100,0.33,295,0.9,True,2,1800,800
18,87,Disruptor,Ranged,int,"['Support', 'Disabler', 'Nuker', 'Initiator']",120,0.25,75,0.0,0.0,25,27,31,21,15,20,2.4,1.4,2.9,625,1200,1.7,100,0.4,295,,True,2,1800,800
19,19,Tiny,Melee,str,"['Carry', 'Nuker', 'Pusher', 'Initiator', 'Durable', 'Disabler']",120,1.5,75,0.0,0.0,25,31,37,30,0,17,4.0,0.0,2.2,150,900,1.7,90,0.4,285,,True,2,1800,800
20,21,Windranger,Ranged,all,"['Carry', 'Support', 'Disabler', 'Escape', 'Nuker']",120,0.25,75,0.25,0.0,25,7,13,18,19,21,2.0,1.4,2.4,600,1250,1.5,90,0.4,290,0.8,True,2,1800,800
21,25,Lina,Ranged,int,"['Support', 'Carry', 'Nuker', 'Disabler']",120,0.25,75,0.0,0.0,25,21,29,20,23,30,2.4,2.4,3.8,670,1000,1.6,100,0.65,290,,True,2,1800,800
22,69,Doom,Melee,str,"['Carry', 'Disabler', 'Initiator', 'Durable', 'Nuker']",120,0.25,75,0.0,2.0,25,34,44,24,15,15,3.7,1.5,1.7,200,900,1.9,100,0.5,290,,True,2,1800,800
23,85,Undying,Melee,str,"['Support', 'Durable', 'Disabler', 'Nuker']",120,-0.25,75,0.25,1.0,25,31,39,22,10,27,2.4,1.2,2.8,150,900,1.7,100,0.3,300,,True,2,1800,800
24,86,Rubick,Ranged,int,"['Support', 'Disabler', 'Nuker']",120,0.25,75,0.5,1.0,25,27,33,21,23,25,2.0,2.5,3.7,550,1125,1.7,100,0.4,290,0.7,True,2,1800,800
25,52,Leshrac,Ranged,int,"['Carry', 'Support', 'Nuker', 'Pusher', 'Disabler']",120,0.25,75,0.0,0.0,25,27,31,20,23,22,2.8,2.8,3.5,575,900,1.7,100,0.4,325,,True,4,1800,800
26,19,Tiny,Melee,str,"['Carry', 'Nuker', 'Pusher', 'Initiator', 'Durable', 'Disabler']",120,1.5,75,0.0,0.0,25,31,37,30,0,17,4.0,0.0,2.2,150,900,1.7,90,0.4,285,,True,2,1800,800
27,96,Centaur Warrunner,Melee,str,"['Durable', 'Initiator', 'Disabler', 'Nuker', 'Escape']",120,5.0,75,0.0,-2.0,25,36,38,27,15,15,4.0,1.0,1.6,150,900,1.7,90,0.3,310,,True,4,1800,800
28,87,Disruptor,Ranged,int,"['Support', 'Disabler', 'Nuker', 'Initiator']",120,0.25,75,0.0,0.0,25,27,31,21,15,20,2.4,1.4,2.9,625,1200,1.7,100,0.4,295,,True,2,1800,800
29,114,Monkey King,Melee,agi,"['Carry', 'Escape', 'Disabler', 'Initiator']",120,1.0,75,0.0,2.0,25,29,33,18,24,20,2.8,3.7,1.8,300,900,1.7,100,0.45,300,,True,2,1800,800
30,61,Broodmother,Melee,all,"['Carry', 'Pusher', 'Escape', 'Nuker']",120,0.25,75,0.0,-1.0,25,9,15,19,18,18,2.3,2.6,1.4,175,900,1.7,125,0.4,285,,True,8,1800,800
31,14,Pudge,Melee,str,"['Disabler', 'Initiator', 'Durable', 'Nuker']",120,1.75,75,0.0,-1.0,25,45,51,25,14,16,3.0,1.4,1.8,175,0,1.7,100,0.5,280,0.7,True,2,1800,800
32,84,Ogre Magi,Melee,str,"['Support', 'Nuker', 'Disabler', 'Durable', 'Initiator']",120,1.5,120,0.0,4.0,25,44,50,23,14,0,4.2,1.5,0.0,150,900,1.7,100,0.3,290,,True,2,1800,800
33,86,Rubick,Ranged,int,"['Support', 'Disabler', 'Nuker']",120,0.25,75,0.5,1.0,25,27,33,21,23,25,2.0,2.5,3.7,550,1125,1.7,100,0.4,290,0.7,True,2,1800,800
34,93,Slark,Melee,agi,"['Carry', 'Escape', 'Disabler', 'Nuker']",120,1.75,75,0.0,0.0,25,34,40,20,21,16,2.1,1.5,1.9,150,0,1.7,120,0.5,300,0.7,True,2,1800,1800
35,123,Hoodwink,Ranged,agi,"['Support', 'Nuker', 'Escape', 'Disabler']",120,0.25,75,0.0,0.0,25,22,29,17,24,21,2.0,3.6,2.9,575,1800,2.0,100,0.4,310,0.9,True,4,1800,800
36,40,Venomancer,Ranged,all,"['Support', 'Nuker', 'Initiator', 'Pusher', 'Disabler']",120,0.25,75,0.0,0.0,25,-1,2,19,24,19,2.0,2.0,1.4,450,900,1.7,115,0.3,280,,True,0,1800,800
37,137,Primal Beast,Melee,str,"['Initiator', 'Durable', 'Disabler']",120,0.25,75,0.0,2.0,25,36,38,26,15,16,4.3,1.0,1.7,150,900,1.8,100,0.6,310,0.6,True,2,1800,800
38,78,Brewmaster,Melee,all,"['Carry', 'Initiator', 'Durable', 'Disabler', 'Nuker']",120,0.5,75,0.0,0.0,25,9,16,23,19,15,3.7,2.0,1.6,150,900,1.7,100,0.35,310,,True,2,1800,800
39,106,Ember Spirit,Melee,agi,"['Carry', 'Escape', 'Nuker', 'Disabler', 'Initiator']",120,0.5,75,0.0,0.0,25,33,37,22,22,20,2.6,3.2,2.2,150,900,1.7,100,0.4,300,0.8,True,2,1800,800
40,82,Meepo,Melee,agi,"['Carry', 'Escape', 'Nuker', 'Disabler', 'Initiator', 'Pusher']",120,0.25,75,0.25,4.0,25,29,35,24,17,18,2.2,2.1,1.9,150,900,1.7,100,0.38,330,0.9,True,2,1800,800
41,50,Dazzle,Ranged,all,"['Support', 'Nuker', 'Disabler']",120,0.25,75,0.3,0.0,25,3,9,18,20,25,2.0,1.4,2.8,575,1200,1.7,100,0.3,305,0.7,True,2,1800,800
42,49,Dragon Knight,Melee,str,"['Carry', 'Pusher', 'Durable', 'Disabler', 'Initiator', 'Nuker']",120,0.25,75,0.0,0.0,25,34,40,21,16,18,3.6,2.0,1.7,150,900,1.6,100,0.5,315,,True,2,1800,800
43,86,Rubick,Ranged,int,"['Support', 'Disabler', 'Nuker']",120,0.25,75,0.5,1.0,25,27,33,21,23,25,2.0,2.5,3.7,550,1125,1.7,100,0.4,290,0.7,True,2,1800,800
44,66,Chen,Ranged,all,"['Support', 'Pusher']",120,0.25,75,0.5,-1.0,25,9,16,23,15,19,2.0,2.1,3.2,650,1100,1.7,100,0.5,305,,True,2,1800,800
45,15,Razor,Ranged,agi,"['Carry', 'Durable', 'Nuker', 'Pusher']",120,1.0,75,0.0,0.0,25,23,25,22,24,21,2.8,2.8,2.2,475,2000,1.7,100,0.3,280,,True,0,1800,800
46,13,Puck,Ranged,int,"['Initiator', 'Disabler', 'Escape', 'Nuker']",120,0.5,75,0.5,-3.0,25,22,30,17,22,23,2.4,2.5,3.8,550,900,1.7,100,0.5,290,0.9,True,2,1800,800
47,72,Gyrocopter,Ranged,agi,"['Carry', 'Nuker', 'Disabler']",120,0.25,75,0.0,2.0,25,16,22,22,26,21,2.5,3.1,2.4,365,3000,1.7,125,0.2,320,,True,2,1800,800
48,58,Enchantress,Ranged,int,"['Support', 'Pusher', 'Durable', 'Disabler']",120,0.25,75,0.0,1.0,25,21,31,17,19,22,2.0,2.1,3.8,575,900,1.7,100,0.3,320,,True,4,1800,800
49,69,Doom,Melee,str,"['Carry', 'Disabler', 'Initiator', 'Durable', 'Nuker']",120,0.25,75,0.0,2.0,25,34,44,24,15,15,3.7,1.5,1.7,200,900,1.9,100,0.5,290,,True,2,1800,800
50,58,Enchantress,Ranged,int,"['Support', 'Pusher', 'Durable', 'Disabler']",120,0.25,75,0.0,1.0,25,21,31,17,19,22,2.0,2.1,3.8,575,900,1.7,100,0.3,320,,True,4,1800,800
51,92,Visage,Ranged,all,"['Support', 'Nuker', 'Durable', 'Disabler', 'Pusher']",120,0.25,75,0.0,-1.0,25,4,14,22,11,22,2.4,1.0,2.4,600,1400,1.7,110,0.4,285,,True,2,1800,800
52,32,Riki,Melee,agi,"['Carry', 'Escape', 'Disabler']",120,2.5,75,0.0,0.0,25,27,31,18,30,14,2.0,2.4,1.3,150,900,1.7,90,0.3,315,,True,2,1800,800
53,19,Tiny,Melee,str,"['Carry', 'Nuker', 'Pusher', 'Initiator', 'Durable', 'Disabler']",120,1.5,75,0.0,0.0,25,31,37,30,0,17,4.0,0.0,2.2,150,900,1.7,90,0.4,285,,True,2,1800,800
54,48,Luna,Ranged,agi,"['Carry', 'Nuker', 'Pusher']",120,0.5,75,0.0,2.0,25,26,32,21,24,23,2.2,3.4,1.9,330,900,1.7,100,0.35,325,,True,2,1800,800
55,9,Mirana,Ranged,all,"['Carry', 'Support', 'Escape', 'Nuker', 'Disabler']",120,0.25,75,0.4,-2.0,25,-5,-1,20,24,22,1.7,2.5,1.4,630,900,1.7,100,0.35,285,,True,2,1800,800
56,137,Primal Beast,Melee,str,"['Initiator', 'Durable', 'Disabler']",120,0.25,75,0.0,2.0,25,36,38,26,15,16,4.3,1.0,1.7,150,900,1.8,100,0.6,310,0.6,True,2,1800,800
57,95,Troll Warlord,Ranged,agi,"['Carry', 'Pusher', 'Disabler', 'Durable']",120,0.25,75,0.0,-1.0,25,27,35,21,23,13,2.5,3.3,1.0,500,1200,1.7,100,0.3,290,,True,2,1800,800
58,65,Batrider,Ranged,all,"['Initiator', 'Disabler', 'Escape']",120,1.75,75,0.0,2.0,25,-4,0,28,15,22,2.2,1.4,2.0,400,900,1.7,100,0.3,330,0.9,True,2,1600,800
59,129,Mars,Melee,str,"['Carry', 'Initiator', 'Disabler', 'Durable']",120,0.25,75,0.5,-1.0,25,26,34,23,20,21,3.7,1.7,2.2,250,900,1.8,100,0.4,310,0.8,True,2,1800,800
60,37,Warlock,Ranged,int,"['Support', 'Initiator', 'Disabler']",120,0.25,75,0.0,1.0,25,24,34,22,10,25,2.8,1.0,3.1,600,1200,1.7,90,0.3,300,,True,2,1800,800
61,59,Huskar,Ranged,str,"['Carry', 'Durable', 'Initiator']",120,0.25,75,0.0,0.0,25,21,26,23,10,18,3.3,1.5,1.5,400,1400,1.6,100,0.3,295,,True,2,1800,800
62,27,Shadow Shaman,Ranged,int,"['Support', 'Pusher', 'Disabler', 'Nuker', 'Initiator']",120,1.0,75,0.0,3.0,25,40,47,23,16,25,2.3,1.6,3.5,400,900,1.7,90,0.3,285,,True,2,1800,800
63,80,Lone Druid,Ranged,all,"['Carry', 'Pusher', 'Durable']",120,0.25,75,0.0,0.0,25,1,5,20,20,13,1.8,2.0,2.0,550,900,1.6,100,0.33,325,,True,2,1800,800
64,17,Storm Spirit,Ranged,int,"['Carry', 'Escape', 'Nuker', 'Initiator', 'Disabler']",120,0.5,75,0.6,1.0,25,24,34,21,22,23,2.0,2.6,3.9,480,1100,1.6,115,0.5,285,0.8,True,2,1800,800
65,21,Windranger,Ranged,all,"['Carry', 'Support', 'Disabler', 'Escape', 'Nuker']",120,0.25,75,0.25,0.0,25,7,13,18,19,21,2.0,1.4,2.4,600,1250,1.5,90,0.4,290,0.8,True,2,1800,800
66,119,Dark Willow,Ranged,all,"['Support', 'Nuker', 'Disabler', 'Escape']",120,0.75,75,0.0,0.0,25,5,13,20,18,21,2.0,1.3,2.6,475,1200,1.5,115,0.3,290,0.7,True,2,1800,800
67,18,Sven,Melee,str,"['Carry', 'Disabler', 'Initiator', 'Durable', 'Nuker']",120,0.75,75,0.0,-1.0,25,37,39,22,21,16,3.2,2.2,1.5,150,0,1.9,110,0.4,325,,True,2,1800,800
68,106,Ember Spirit,Melee,agi,"['Carry', 'Escape', 'Nuker', 'Disabler', 'Initiator']",120,0.5,75,0.0,0.0,25,33,37,22,22,20,2.6,3.2,2.2,150,900,1.7,100,0.4,300,0.8,True,2,1800,800
69,5,Crystal Maiden,Ranged,int,"['Support', 'Disabler', 'Nuker']",120,0.25,75,0.5,0.0,25,30,36,17,16,18,2.2,1.6,3.3,600,900,1.7,100,0.45,280,,True,2,1800,800
70,22,Zeus,Ranged,int,"['Nuker', 'Carry']",120,0.25,75,0.0,2.0,25,33,41,19,11,22,2.1,1.2,3.3,380,1100,1.7,100,0.35,315,,True,2,1800,800
71,123,Hoodwink,Ranged,agi,"['Support', 'Nuker', 'Escape', 'Disabler']",120,0.25,75,0.0,0.0,25,22,29,17,24,21,2.0,3.6,2.9,575,1800,2.0,100,0.4,310,0.9,True,4,1800,800
72,97,Magnus,Melee,all,"['Initiator', 'Disabler', 'Nuker', 'Escape']",120,0.5,75,0.5,1.0,25,9,17,25,9,19,3.1,2.0,1.6,200,900,1.8,100,0.5,305,0.8,True,4,1800,800
73,40,Venomancer,Ranged,all,"['Support', 'Nuker', 'Initiator', 'Pusher', 'Disabler']",120,0.25,75,0.0,0.0,25,-1,2,19,24,19,2.0,2.0,1.4,450,900,1.7,115,0.3,280,,True,0,1800,800
74,72,Gyrocopter,Ranged,agi,"['Carry', 'Nuker', 'Disabler']",120,0.25,75,0.0,2.0,25,16,22,22,26,21,2.5,3.1,2.4,365,3000,1.7,125,0.2,320,,True,2,1800,800
75,21,Windranger,Ranged,all,"['Carry', 'Support', 'Disabler', 'Escape', 'Nuker']",120,0.25,75,0.25,0.0,25,7,13,18,19,21,2.0,1.4,2.4,600,1250,1.5,90,0.4,290,0.8,True,2,1800,800
76,98,Timbersaw,Melee,all,"['Nuker', 'Durable', 'Escape']",120,0.25,75,0.5,0.0,25,4,8,27,16,23,3.5,1.3,2.7,150,900,1.7,100,0.36,285,,True,2,1800,800
77,7,Earthshaker,Melee,str,"['Support', 'Initiator', 'Disabler', 'Nuker']",120,1.0,75,0.0,2.0,25,27,37,22,12,18,3.7,1.4,2.1,150,0,1.7,100,0.467,315,0.9,True,2,1800,800
78,128,Snapfire,Ranged,all,"['Support', 'Nuker', 'Disabler', 'Escape']",120,0.75,75,0.0,1.0,25,4,10,21,16,21,3.2,1.2,2.1,500,1800,1.6,100,0.35,300,,True,2,1800,800
79,79,Shadow Demon,Ranged,int,"['Support', 'Disabler', 'Initiator', 'Nuker']",120,0.25,75,0.0,0.0,25,29,33,23,18,22,2.6,2.2,3.6,500,900,1.7,100,0.35,290,,True,2,1800,800
80,48,Luna,Ranged,agi,"['Carry', 'Nuker', 'Pusher']",120,0.5,75,0.0,2.0,25,26,32,21,24,23,2.2,3.4,1.9,330,900,1.7,100,0.35,325,,True,2,1800,800
81,92,Visage,Ranged,all,"['Support', 'Nuker', 'Durable', 'Disabler', 'Pusher']",120,0.25,75,0.0,-1.0,25,4,14,22,11,22,2.4,1.0,2.4,600,1400,1.7,110,0.4,285,,True,2,1800,800
82,136,Marci,Melee,all,"['Support', 'Carry', 'Initiator', 'Disabler', 'Escape']",120,0.25,75,0.0,0.0,25,7,13,23,20,19,3.0,1.8,1.5,150,0,1.7,100,0.3,315,0.9,True,2,1800,800
83,87,Disruptor,Ranged,int,"['Support', 'Disabler', 'Nuker', 'Initiator']",120,0.25,75,0.0,0.0,25,27,31,21,15,20,2.4,1.4,2.9,625,1200,1.7,100,0.4,295,,True,2,1800,800
84,77,Lycan,Melee,all,"['Carry', 'Pusher', 'Durable', 'Escape']",120,0.25,75,0.0,0.0,25,4,9,26,18,23,3.0,1.8,1.2,150,900,1.7,110,0.55,305,,True,2,1800,800
85,80,Lone Druid,Ranged,all,"['Carry', 'Pusher', 'Durable']",120,0.25,75,0.0,0.0,25,1,5,20,20,13,1.8,2.0,2.0,550,900,1.6,100,0.33,325,,True,2,1800,800
86,129,Mars,Melee,str,"['Carry', 'Initiator', 'Disabler', 'Durable']",120,0.25,75,0.5,-1.0,25,26,34,23,20,21,3.7,1.7,2.2,250,900,1.8,100,0.4,310,0.8,True,2,1800,800
87,64,Jakiro,Ranged,int,"['Support', 'Nuker', 'Pusher', 'Disabler']",120,0.25,75,0.0,1.0,25,27,35,25,15,26,2.5,1.2,3.0,400,1100,1.7,100,0.4,290,,True,2,1800,800
88,53,Nature's Prophet,Ranged,int,"['Carry', 'Pusher', 'Escape', 'Nuker']",120,0.25,75,0.0,0.0,25,24,34,19,14,22,2.6,3.2,3.5,620,1125,1.5,100,0.4,295,0.9,True,2,1800,800
89,6,Drow Ranger,Ranged,agi,"['Carry', 'Disabler', 'Pusher']",120,0.25,75,0.0,0.0,25,29,36,16,20,15,1.9,2.9,1.4,625,1250,1.7,100,0.5,300,0.7,True,2,1800,800
90,21,Windranger,Ranged,all,"['Carry', 'Support', 'Disabler', 'Escape', 'Nuker']",120,0.25,75,0.25,0.0,25,7,13,18,19,21,2.0,1.4,2.4,600,1250,1.5,90,0.4,290,0.8,True,2,1800,800
91,29,Tidehunter,Melee,str,"['Initiator', 'Durable', 'Disabler', 'Nuker', 'Carry']",120,0.25,75,0.5,0.0,25,25,31,27,15,18,3.5,1.5,1.7,150,900,1.7,100,0.6,300,,True,2,1800,800
92,20,Vengeful Spirit,Ranged,all,"['Support', 'Initiator', 'Disabler', 'Nuker', 'Escape']",120,0.25,75,0.0,0.0,25,9,15,20,21,19,2.1,2.1,1.2,400,1500,1.7,110,0.33,295,,True,2,1800,800
93,58,Enchantress,Ranged,int,"['Support', 'Pusher', 'Durable', 'Disabler']",120,0.25,75,0.0,1.0,25,21,31,17,19,22,2.0,2.1,3.8,575,900,1.7,100,0.3,320,,True,4,1800,800
94,41,Faceless Void,Melee,agi,"['Carry', 'Initiator', 'Disabler', 'Escape', 'Durable']",120,1.0,75,0.0,0.0,25,37,43,20,19,15,2.6,3.0,1.5,150,900,1.7,100,0.5,300,0.9,True,2,1800,800
95,96,Centaur Warrunner,Melee,str,"['Durable', 'Initiator', 'Disabler', 'Nuker', 'Escape']",120,5.0,75,0.0,-2.0,25,36,38,27,15,15,4.0,1.0,1.6,150,900,1.7,90,0.3,310,,True,4,1800,800
96,7,Earthshaker,Melee,str,"['Support', 'Initiator', 'Disabler', 'Nuker']",120,1.0,75,0.0,2.0,25,27,37,22,12,18,3.7,1.4,2.1,150,0,1.7,100,0.467,315,0.9,True,2,1800,800
97,30,Witch Doctor,Ranged,int,"['Support', 'Nuker', 'Disabler']",120,0.25,75,0.0,0.0,25,26,36,20,13,22,2.1,1.4,3.1,550,1200,1.7,100,0.4,300,,True,2,1800,800
98,126,Void Spirit,Melee,all,"['Carry', 'Escape', 'Nuker', 'Disabler']",120,0.25,75,0.6,-1.0,25,4,8,21,19,24,2.3,2.2,2.5,200,900,1.7,100,0.35,290,0.7,True,2,1800,800
99,67,Spectre,Melee,agi,"['Carry', 'Durable', 'Escape']",120,1.0,75,0.0,0.0,25,23,27,21,25,16,2.5,2.1,1.7,150,900,1.7,90,0.3,290,,True,0,1800,800
100,39,Queen of Pain,Ranged,int,"['Carry', 'Nuker', 'Escape']",120,0.25,75,0.0,0.0,25,26,32,18,22,25,2.4,2.5,3.4,550,1500,1.5,100,0.56,290,,True,2,1800,800
101,62,Bounty Hunter,Melee,agi,"['Escape', 'Nuker']",120,0.75,75,0.5,5.0,25,33,41,19,21,22,2.5,2.6,1.9,150,900,1.5,100,0.59,325,,True,2,1800,1000
102,114,Monkey King,Melee,agi,"['Carry', 'Escape', 'Disabler', 'Initiator']",120,1.0,75,0.0,2.0,25,29,33,18,24,20,2.8,3.7,1.8,300,900,1.7,100,0.45,300,,True,2,1800,800
103,85,Undying,Melee,str,"['Support', 'Durable', 'Disabler', 'Nuker']",120,-0.25,75,0.25,1.0,25,31,39,22,10,27,2.4,1.2,2.8,150,900,1.7,100,0.3,300,,True,2,1800,800
104,96,Centaur Warrunner,Melee,str,"['Durable', 'Initiator', 'Disabler', 'Nuker', 'Escape']",120,5.0,75,0.0,-2.0,25,36,38,27,15,15,4.0,1.0,1.6,150,900,1.7,90,0.3,310,,True,4,1800,800
105,70,Ursa,Melee,agi,"['Carry', 'Durable', 'Disabler']",120,1.0,75,0.0,1.0,25,24,28,25,18,16,2.6,2.8,1.5,150,900,1.7,100,0.3,310,,True,2,1800,800
106,88,Nyx Assassin,Melee,all,"['Disabler', 'Nuker', 'Initiator', 'Escape']",120,2.0,75,0.0,1.0,25,9,13,17,18,21,2.5,2.1,2.5,150,900,1.7,100,0.46,310,,True,6,1800,800
107,22,Zeus,Ranged,int,"['Nuker', 'Carry']",120,0.25,75,0.0,2.0,25,33,41,19,11,22,2.1,1.2,3.3,380,1100,1.7,100,0.35,315,,True,2,1800,800
108,98,Timbersaw,Melee,all,"['Nuker', 'Durable', 'Escape']",120,0.25,75,0.5,0.0,25,4,8,27,16,23,3.5,1.3,2.7,150,900,1.7,100,0.36,285,,True,2,1800,800
109,87,Disruptor,Ranged,int,"['Support', 'Disabler', 'Nuker', 'Initiator']",120,0.25,75,0.0,0.0,25,27,31,21,15,20,2.4,1.4,2.9,625,1200,1.7,100,0.4,295,,True,2,1800,800
110,109,Terrorblade,Melee,agi,"['Carry', 'Pusher', 'Nuker']",120,1.5,75,0.0,5.0,25,28,34,18,22,19,2.0,4.0,1.6,150,900,1.5,110,0.3,315,0.8,True,2,1800,800
111,47,Viper,Ranged,agi,"['Carry', 'Durable', 'Initiator', 'Disabler']",120,0.25,75,0.0,-2.0,25,27,29,21,21,17,2.4,2.7,2.0,575,1200,1.7,120,0.33,275,,True,0,1800,800
112,19,Tiny,Melee,str,"['Carry', 'Nuker', 'Pusher', 'Initiator', 'Durable', 'Disabler']",120,1.5,75,0.0,0.0,25,31,37,30,0,17,4.0,0.0,2.2,150,900,1.7,90,0.4,285,,True,2,1800,800
113,5,Crystal Maiden,Ranged,int,"['Support', 'Disabler', 'Nuker']",120,0.25,75,0.5,0.0,25,30,36,17,16,18,2.2,1.6,3.3,600,900,1.7,100,0.45,280,,True,2,1800,800
114,98,Timbersaw,Melee,all,"['Nuker', 'Durable', 'Escape']",120,0.25,75,0.5,0.0,25,4,8,27,16,23,3.5,1.3,2.7,150,900,1.7,100,0.36,285,,True,2,1800,800
115,48,Luna,Ranged,agi,"['Carry', 'Nuker', 'Pusher']",120,0.5,75,0.0,2.0,25,26,32,21,24,23,2.2,3.4,1.9,330,900,1.7,100,0.35,325,,True,2,1800,800
116,49,Dragon Knight,Melee,str,"['Carry', 'Pusher', 'Durable', 'Disabler', 'Initiator', 'Nuker']",120,0.25,75,0.0,0.0,25,34,40,21,16,18,3.6,2.0,1.7,150,900,1.6,100,0.5,315,,True,2,1800,800
117,50,Dazzle,Ranged,all,"['Support', 'Nuker', 'Disabler']",120,0.25,75,0.3,0.0,25,3,9,18,20,25,2.0,1.4,2.8,575,1200,1.7,100,0.3,305,0.7,True,2,1800,800
118,3,Bane,Ranged,all,"['Support', 'Disabler', 'Nuker', 'Durable']",120,0.25,75,0.0,1.0,25,-1,5,23,23,23,2.5,2.5,2.5,400,900,1.7,100,0.3,305,,True,4,1800,1200
119,72,Gyrocopter,Ranged,agi,"['Carry', 'Nuker', 'Disabler']",120,0.25,75,0.0,2.0,25,16,22,22,26,21,2.5,3.1,2.4,365,3000,1.7,125,0.2,320,,True,2,1800,800
120,49,Dragon Knight,Melee,str,"['Carry', 'Pusher', 'Durable', 'Disabler', 'Initiator', 'Nuker']",120,0.25,75,0.0,0.0,25,34,40,21,16,18,3.6,2.0,1.7,150,900,1.6,100,0.5,315,,True,2,1800,800
121,100,Tusk,Melee,str,"['Initiator', 'Disabler', 'Nuker']",120,1.0,75,0.5,1.0,25,27,31,23,23,18,3.9,2.1,1.7,150,900,1.7,100,0.36,310,0.7,True,2,1800,800
